"","CO2.emissions","Air.Pollution","Protected.Land","Education","Women.Parliament","Child.Mortality","Water","GINI","Youth.Unemployment","Hunger","Violence","Internet","Protected.Sea","Sanitation","Poverty","Alternative.Energy","oneoverco2","oneoverpl","oneoverps"
"5535",NA,0.2458002897,NA,NA,0.883,0.4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5536",NA,0.2302904099,NA,NA,0.883,0.39,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5537",NA,0.2240909785,NA,NA,0.85,0.37,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5538",NA,0.2176185599,NA,0.0443144,0.833,0.36,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5539",NA,0.2056414001,NA,0.027905,0.833,0.34,NA,NA,NA,NA,NA,0,0.99998527252,NA,NA,NA,NA,NA,0.999015697286415
"5540",NA,0.1966607006,NA,0.0505213000000001,0.817,0.33,NA,NA,NA,NA,NA,0,0.99998527252,NA,NA,NA,NA,NA,0.999015697286415
"5541",NA,NA,NA,0.0534801,0.833,0.32,NA,NA,NA,NA,0.7,0,0.99998527252,NA,NA,NA,NA,NA,0.999015697286415
"5542",NA,NA,NA,NA,0.817,0.31,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5543",0.424810169,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34846434585737,NA,NA
"5544",0.45369158,NA,NA,0.7584679,NA,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19929298008993,NA,NA
"5545",0.482490233,NA,NA,0.6944183,NA,9.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06829410760817,NA,NA
"5546",0.547231756,NA,NA,0.6131468,NA,9.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82404610651558,NA,NA
"5547",0.501715123,NA,NA,0.6070557,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98919816462335,NA,NA
"5548",0.527014209,NA,NA,0.643480233333333,NA,10.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89388842753662,NA,NA
"5549",0.481215552,NA,NA,0.679904766666667,NA,10.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07376140369691,NA,NA
"5550",0.470080853,NA,NA,0.7163293,NA,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12277784934723,NA,NA
"5551",0.426037142,NA,NA,0.659543,NA,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34171668374457,NA,NA
"5552",0.415806781,NA,NA,0.658401106666667,NA,10.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3991932127419,NA,NA
"5553",0.406073513,0.1557623834,NA,0.657259213333333,0.882,11.04,NA,NA,NA,NA,NA,1,0.99364404404,NA,NA,NA,2.45655874937754,NA,1.00538479669395
"5554",0.396749172,0.1534074349,NA,0.65611732,0.888428571428571,11.08,NA,NA,NA,NA,NA,0.9963019119125,0.99084681663,NA,NA,NA,2.51414728275035,NA,1.0082202042022
"5555",0.387792954,0.1574879446,NA,0.654975426666667,0.894857142857143,11.07,NA,NA,NA,1.44,NA,0.992603823825,0.98804958922,NA,NA,NA,2.57206307293316,NA,1.01107164989436
"5556",0.379461585,0.1611872178,NA,0.653833533333333,0.901285714285714,10.99,NA,NA,NA,1.46,NA,0.9889057357375,0.98525236181,NA,NA,NA,2.6283862535031,NA,1.01393927023381
"5557",0.372037304,0.1581306302,NA,0.65269164,0.907714285714286,10.83,0.261,NA,NA,1.45,NA,0.98520764765,0.9824551344,0.819,NA,NA,2.68069704900076,NA,1.01682320323651
"5558",0.365636841,0.1498423684,NA,0.651549746666667,0.914142857142857,10.61,0.26,NA,NA,1.45,NA,0.9815095595625,0.97965790699,0.818,NA,NA,2.72749458912123,NA,1.01972358849313
"5559",0.360262388,0.1497730915,NA,0.650407853333333,0.920571428571429,10.34,0.258,NA,NA,1.51,NA,0.977811471475,0.97686067958,0.817,NA,NA,2.768071167154,NA,1.02264056719154
"5560",0.355676757,0.1476861151,NA,0.64926596,0.927,10.02,0.256,NA,NA,1.64,NA,0.9741133833875,0.97406345217,0.816,NA,NA,2.80365900040972,NA,1.0255742821398
"5561",0.351426465,0.1454451192,NA,0.648124066666667,0.927,9.67,0.255,NA,NA,1.64,NA,0.9704152953,0.97126622476,0.814,NA,NA,2.83747135732273,NA,1.02852487778936
"5562",0.34696061,0.1379691673,NA,0.646982173333333,0.909,9.31,0.236,NA,NA,1.6,NA,0.9636796839,0.96846899735,0.803,NA,NA,2.87388851284058,NA,1.03149250025886
"5563",0.341904065,0.1534936823,NA,0.64584028,0.909,8.93,0.218,NA,NA,1.4,NA,0.5361483184,0.96567176994,0.791,NA,NA,2.91626755722479,NA,1.0344772973582
"5564",0.362088544,0.1552434653,NA,0.644698386666667,0.909,8.54,0.2,50.82,NA,1.17,NA,0.3689082112,0.965671769939,0.779,28.18,NA,2.75414913669102,NA,1.03447729735927
"5565",0.406183583,0.1548578551,NA,0.643556493333333,0.909,8.15,0.182,48.9366666666667,NA,0.92,NA,0.2419334831,0.965671769938,0.767,29.8855555555556,NA,2.45589469160892,NA,1.03447729736034
"5566",0.447634872,0.1584577897,NA,0.6424146,0.909,7.76,0.165,47.0533333333333,NA,0.75,NA,0,0.965671769937,0.755,31.5911111111111,NA,2.22898410803875,NA,1.03447729736141
"5567",0.486204108,0.1578022216,NA,0.6046128,0.909,7.39,0.147,45.17,NA,0.71,NA,0,0.965671769936,0.743,33.2966666666667,NA,2.05252784937519,NA,1.03447729736248
"5568",0.498056463,0.1542519394,NA,0.5681806,0.909,7.03,0.13,43.2866666666667,NA,0.67,NA,0,0.965671769935,0.731,35.0022222222222,NA,2.0037812835619,NA,1.03447729736355
"5569",0.531094543,0.1558597499,NA,0.5477128,0.927,6.7,0.113,41.4033333333333,NA,0.63,2.5,0,0.965671769934,0.719,36.7077777777778,NA,1.87936526159788,NA,1.03447729736462
"5570",0.516194382,0.1505451406,NA,0.527245,0.982,6.4,0.096,39.52,NA,0.55,2.4,0,0.965671769933,0.706,38.4133333333333,NA,1.93350901479823,NA,1.03447729736569
"5571",0.501274866,0.1462443516,NA,0.5547308,0.927,6.14,0.0790000000000001,37.6366666666667,NA,0.49,8.3,0,0.965671769932,0.694,40.1188888888889,NA,1.99094174861618,NA,1.03447729736676
"5572",0.529179173,0.1383575667,NA,0.4950942,0.927,5.9,0.0629999999999999,35.7533333333333,NA,0.47,2.9,0,0.965671769931,0.682,41.8244444444444,NA,1.88615481506287,NA,1.03447729736783
"5573",0.555518774,0.1421603623,NA,0.4791602,0.818,5.67,0.047,33.87,NA,0.47,3.4,0,0.96567176993,0.669,43.53,NA,1.79688457374486,NA,1.0344772973689
